model_name,def_gen,atk_gen,accuracy,adv_accuracy,def_value,adv_failure_rate,train_time,predict_time,adv_predict_time,data.sample.random_state,Epochs,model_layers,model.init.name,data,attack,model,dataset
ResNet101,Conf,FGM,0.0,0.09,0.449438202247191,41.84079599011715,94.40125415,2.174910822,0.020738006,8,20.0,101,torch_example.ResNet101,4b5d1c0ff3a9285a9d7f929fc1d69653,4b5d1c0ff3a9285a9d7f929fc1d69653,4b5d1c0ff3a9285a9d7f929fc1d69653,cifar
ResNet101,Conf,Pixel,0.0,0.06,0.449438202247191,41.86150359433847,95.157334679,2.245499849,0.021168256,7,20.0,101,torch_example.ResNet101,4b66c746b9b17c925fd1aa7e4f268edb,4b66c746b9b17c925fd1aa7e4f268edb,4b66c746b9b17c925fd1aa7e4f268edb,cifar
ResNet101,Conf,Pixel,0.5566666666666666,0.14,0.449438202247191,38.272262695399625,96.214834141,2.247058155,0.020846458,1,20.0,101,torch_example.ResNet101,4d0d8ed672b1586e3ead8891632ac735,4d0d8ed672b1586e3ead8891632ac735,4d0d8ed672b1586e3ead8891632ac735,cifar
ResNet101,Conf,Thresh,0.0,0.08,0.449438202247191,42.04253250531882,94.53053099,2.188260186,0.020854051,6,20.0,101,torch_example.ResNet101,4dbf042f3f51b2e8f915968346d1b9f3,4dbf042f3f51b2e8f915968346d1b9f3,4dbf042f3f51b2e8f915968346d1b9f3,cifar
ResNet101,Conf,FGM,0.4735,0.0,1.0,45.375597710231,94.062190487,2.203827719,0.021374294,3,20.0,101,torch_example.ResNet101,4ebd4b9f0263a2427e66e305d9844ffb,4ebd4b9f0263a2427e66e305d9844ffb,4ebd4b9f0263a2427e66e305d9844ffb,cifar
ResNet101,Conf,FGM,0.0,0.1,0.0,40.83384121141713,94.331538768,2.204054219,0.021518843,4,20.0,101,torch_example.ResNet101,4fdfbf552ce9e199d4558adc94963d61,4fdfbf552ce9e199d4558adc94963d61,4fdfbf552ce9e199d4558adc94963d61,cifar
ResNet101,Conf,HSJ,0.0,0.0,1.0,45.00497249589964,94.331538768,2.221976694,0.021150679,5,20.0,101,torch_example.ResNet101,503fb3a00afc5bc3421bb6d00f6344d5,503fb3a00afc5bc3421bb6d00f6344d5,503fb3a00afc5bc3421bb6d00f6344d5,cifar
ResNet101,Conf,HSJ,0.4808333333333333,0.15,0.449438202247191,39.12065936827534,93.523163185,2.172765014,0.020564083,3,20.0,101,torch_example.ResNet101,536a6b5ae7738363a5a498cf6838c67b,536a6b5ae7738363a5a498cf6838c67b,536a6b5ae7738363a5a498cf6838c67b,cifar
ResNet101,Conf,PGD,0.0,0.08,0.2247191011235954,42.35381135339794,94.259965111,2.172177593,0.020676602,2,20.0,101,torch_example.ResNet101,57c220e71017c30ae962d08087d9f55f,57c220e71017c30ae962d08087d9f55f,57c220e71017c30ae962d08087d9f55f,cifar
ResNet101,Conf,FGM,0.0,0.19,0.449438202247191,36.4505805957829,95.548726648,2.222186826,0.020729557,0,20.0,101,torch_example.ResNet101,59d341d4b769ef7c07800f83203acd08,59d341d4b769ef7c07800f83203acd08,59d341d4b769ef7c07800f83203acd08,cifar
ResNet101,Conf,FGM,0.45025,0.11,0.8988764044943821,40.35962343604282,94.355886107,2.205174192,0.021747464,4,20.0,101,torch_example.ResNet101,5ba7bf89903d6cc8ab64d343e7697406,5ba7bf89903d6cc8ab64d343e7697406,5ba7bf89903d6cc8ab64d343e7697406,cifar
ResNet101,Conf,Pixel,0.0,0.11,0.2247191011235954,42.488991283772044,93.908565691,2.094660224,0.021159669,3,20.0,101,torch_example.ResNet101,5bbac46f6f7a12ef9f027316a696d864,5bbac46f6f7a12ef9f027316a696d864,5bbac46f6f7a12ef9f027316a696d864,cifar
ResNet101,Conf,Thresh,0.0,0.0,0.8988764044943821,45.162768229008165,95.825368835,2.214213254,0.020632819,0,20.0,101,torch_example.ResNet101,5d874de17f1b93dab3a37df9d9bdb386,5d874de17f1b93dab3a37df9d9bdb386,5d874de17f1b93dab3a37df9d9bdb386,cifar
ResNet101,Conf,Deep,0.0,0.0,1.0,45.091466323707344,95.648309106,2.217714529,0.020700233,5,20.0,101,torch_example.ResNet101,5f275cc3386cb772476eb8f14222e8e9,5f275cc3386cb772476eb8f14222e8e9,5f275cc3386cb772476eb8f14222e8e9,cifar
ResNet101,Conf,PGD,0.091,0.08,0.449438202247191,41.77788719789904,94.218828391,2.202121892,0.021165653,5,20.0,101,torch_example.ResNet101,62013dca23f80b80848fcd9b67206c5e,62013dca23f80b80848fcd9b67206c5e,62013dca23f80b80848fcd9b67206c5e,cifar
