model_name,dataset,def_gen,atk_gen,accuracy,adv_accuracy,def_value,adv_failure_rate,train_time,predict_time,adv_predict_time,data.sample.random_state,model_layers,model.init.name,data,attack,model
ResNet101,mnist,Gauss-out,HSJ,,,,,,,,3,101,torch_example.ResNet101,4ccef1f5274353717563aa7d11a7e5a9,4ccef1f5274353717563aa7d11a7e5a9,4ccef1f5274353717563aa7d11a7e5a9
ResNet152,mnist,FSQ,FGM,0.0,0.08,,24.68093659526167,249.358432052,3.727573289,0.030264255,1,152,torch_example.ResNet152,4cd179bd9977c9cf54c6eac580e256cc,4cd179bd9977c9cf54c6eac580e256cc,4cd179bd9977c9cf54c6eac580e256cc
ResNet18,mnist,FSQ,Deep,0.9838333333333332,0.12,0.2,96.83136192548,,0.908796471,0.009530159,0,18,torch_example.ResNet18,4cd66e226836500ed9e4518ccb979570,4cd66e226836500ed9e4518ccb979570,4cd66e226836500ed9e4518ccb979570
ResNet50,mnist,Conf,Thresh,0.9805714285714284,0.12,,72.70738731693031,66.798271298,1.210330934,0.088324205,6,50,torch_example.ResNet50,4cd7943210e1af7c98991c3d0d54530b,4cd7943210e1af7c98991c3d0d54530b,4cd7943210e1af7c98991c3d0d54530b
ResNet34,mnist,Control,Thresh,0.9887142857142858,0.13,0.1194029850746268,9.59202095741034,,9.070038565,0.026051674,9,34,torch_example.ResNet34,4cdd5f1b011893de3ebfbd713c47691c,4cdd5f1b011893de3ebfbd713c47691c,4cdd5f1b011893de3ebfbd713c47691c
ResNet34,mnist,Gauss-out,FGM,0.9856428571428572,0.07,,81.42808234599222,70.709276863,1.142112123,0.009938821,5,34,torch_example.ResNet34,4cdfac2dc531cfa21a09f96e9e4a37d8,4cdfac2dc531cfa21a09f96e9e4a37d8,4cdfac2dc531cfa21a09f96e9e4a37d8
ResNet18,mnist,FSQ,PGD,0.988,0.13,0.0666666666666666,97.884665902753,,0.888801113,0.014344787,0,18,torch_example.ResNet18,4ce0f2511d919ba9efce85eec95aa0dd,4ce0f2511d919ba9efce85eec95aa0dd,4ce0f2511d919ba9efce85eec95aa0dd
ResNet18,mnist,Conf,Deep,0.9830833333333332,0.12,0.0,90.32136799471256,,0.974298795,0.02127928,0,18,torch_example.ResNet18,4ce2399cd6c058064c3924aa25b0e0a4,4ce2399cd6c058064c3924aa25b0e0a4,4ce2399cd6c058064c3924aa25b0e0a4
ResNet101,mnist,Control,FGM,0.1059285714285714,0.08,0.6194029850746269,8.145184101750308,555.507093309,11.295017872,0.036897742,7,101,torch_example.ResNet101,4ce4c767b69075c33c5757d70f9e5c7c,4ce4c767b69075c33c5757d70f9e5c7c,4ce4c767b69075c33c5757d70f9e5c7c
ResNet18,mnist,FSQ,Pixel,,,,,115.855834627,1.567414822,,0,18,torch_example.ResNet18,4ce7d62da79882c963b1dca1771b7190,4ce7d62da79882c963b1dca1771b7190,4ce7d62da79882c963b1dca1771b7190
