model_name,dataset,def_gen,atk_gen,accuracy,adv_accuracy,def_value,adv_failure_rate,train_time,predict_time,adv_predict_time,data.sample.random_state,Epochs,model_layers,model.init.name,data,attack,model
ResNet101,cifar100,Conf,Pixel,0.1950833333333333,0.02,0.449438202247191,11.046878851168822,617.540065403,8.871284036,0.023431646,0,1,101,torch_example.ResNet101,1dcf0d6e25721ce3484d8e8b9ac8e473,1dcf0d6e25721ce3484d8e8b9ac8e473,1dcf0d6e25721ce3484d8e8b9ac8e473
ResNet101,cifar100,Conf,HSJ,0.0899166666666666,0.01,0.0,0.8741730474615755,19881.716731432,113.249888323,0.965893576,7,1,101,torch_example.ResNet101,1e457146b2619151f8cc9d350053d564,1e457146b2619151f8cc9d350053d564,1e457146b2619151f8cc9d350053d564
ResNet101,cifar100,Conf,FGM,0.01,0.0,1.0,0.8625077789379284,20888.033120933,115.940983307,0.974836631,3,1,101,torch_example.ResNet101,1fb499a6f2f6f76e2a4638a6091db26b,1fb499a6f2f6f76e2a4638a6091db26b,1fb499a6f2f6f76e2a4638a6091db26b
ResNet101,cifar100,Conf,HSJ,0.01075,0.01,0.8988764044943821,0.8646512182439753,21389.978052091,114.497034077,0.963564622,2,1,101,torch_example.ResNet101,200058d35142a00c59e4aaa5cc403adf,200058d35142a00c59e4aaa5cc403adf,200058d35142a00c59e4aaa5cc403adf
ResNet101,cifar100,Conf,Deep,0.1019166666666666,0.0,0.8988764044943821,0.8645850680731985,20679.315396396,115.662418532,1.048319678,8,1,101,torch_example.ResNet101,206339a058fa9805b4948a2ee8424d4a,206339a058fa9805b4948a2ee8424d4a,206339a058fa9805b4948a2ee8424d4a
ResNet101,cifar100,Conf,PGD,0.0116666666666666,0.01,1.0,0.8425057745545138,21120.23049839,117.506612999,0.990159384,7,1,101,torch_example.ResNet101,23b4da88326f84d9af64f51b25d3ca22,23b4da88326f84d9af64f51b25d3ca22,23b4da88326f84d9af64f51b25d3ca22
ResNet101,cifar100,Conf,Deep,0.0121666666666666,0.03,1.0,0.8408559608528786,21062.163144336,115.358639905,0.965463412,3,1,101,torch_example.ResNet101,24411d2ef64784b972b03b91254680b1,24411d2ef64784b972b03b91254680b1,24411d2ef64784b972b03b91254680b1
ResNet101,cifar100,Conf,Thresh,0.01,0.02,0.2247191011235954,9.987325693374114,622.548140483,9.812436583,0.023452366,6,1,101,torch_example.ResNet101,2461e8d44c0197cde27353a1e8da7140,2461e8d44c0197cde27353a1e8da7140,2461e8d44c0197cde27353a1e8da7140
ResNet101,cifar100,Conf,HSJ,0.0154166666666666,0.0,1.0,0.8481114492871911,21098.250634367,117.909031984,0.99078056,4,1,101,torch_example.ResNet101,2a1bd7019614d1e1f9e423ffd3ace6f3,2a1bd7019614d1e1f9e423ffd3ace6f3,2a1bd7019614d1e1f9e423ffd3ace6f3
ResNet101,cifar100,Conf,PGD,0.0,0.0,0.2247191011235954,0.86203599388151,21072.025436445,116.004436833,0.965011949,1,1,101,torch_example.ResNet101,2a2e45855ccb72f4f9fd6fe76d18fedc,2a2e45855ccb72f4f9fd6fe76d18fedc,2a2e45855ccb72f4f9fd6fe76d18fedc
ResNet101,cifar100,Conf,FGM,0.0155833333333333,0.01,0.0,0.8441772812134352,20733.447778151,117.273944944,0.946957384,7,1,101,torch_example.ResNet101,2a611414cae176f042de2e965297d401,2a611414cae176f042de2e965297d401,2a611414cae176f042de2e965297d401
ResNet101,cifar100,Conf,PGD,0.12,0.0,0.449438202247191,10.216694549699929,737.879974341,9.787901509,0.032624677,1,1,101,torch_example.ResNet101,2a6ce3027aa5259f95aca8d7c61a3693,2a6ce3027aa5259f95aca8d7c61a3693,2a6ce3027aa5259f95aca8d7c61a3693
ResNet101,cifar100,Conf,HSJ,0.0084166666666666,0.02,0.2247191011235954,10.80597842732442,634.837827861,9.069053826,0.050269386,5,1,101,torch_example.ResNet101,2b3008e52c3535892f80293d4f7efe9c,2b3008e52c3535892f80293d4f7efe9c,2b3008e52c3535892f80293d4f7efe9c
ResNet101,cifar100,Conf,FGM,0.0105,0.0,0.0,0.862340594359474,20808.723754869,115.963461136,0.962297162,0,1,101,torch_example.ResNet101,2bc3ca1e68da3d78d983957e393747a5,2bc3ca1e68da3d78d983957e393747a5,2bc3ca1e68da3d78d983957e393747a5
ResNet101,cifar100,Conf,FGM,0.0,0.01,0.8988764044943821,8.969789956991763,697.374190313,11.037047743,0.054270128,1,1,101,torch_example.ResNet101,2c31a0888a0e4dc0081602141a4bf024,2c31a0888a0e4dc0081602141a4bf024,2c31a0888a0e4dc0081602141a4bf024
ResNet101,cifar100,Conf,PGD,0.0115,0.0,0.8988764044943821,0.870285972947337,21309.579248294,114.90475902,0.980227033,2,1,101,torch_example.ResNet101,2ca3b2f63f233fdbc05093985a23de7d,2ca3b2f63f233fdbc05093985a23de7d,2ca3b2f63f233fdbc05093985a23de7d
ResNet101,cifar100,Conf,FGM,0.00975,0.02,0.0,0.8470555434399286,20650.056911085,115.694892453,0.967556786,7,1,101,torch_example.ResNet101,2d23b5bee652278e9012100adc27229a,2d23b5bee652278e9012100adc27229a,2d23b5bee652278e9012100adc27229a
ResNet101,cifar100,Conf,PGD,0.0130833333333333,0.01,0.8988764044943821,0.8747359795018019,19806.149448569,113.177006914,0.957320244,5,1,101,torch_example.ResNet101,2d9f971055ee4bd4396688efee1c7168,2d9f971055ee4bd4396688efee1c7168,2d9f971055ee4bd4396688efee1c7168
